"id","canton_id","date","total","created_at","updated_at"
"737","0","2020-05-01","13","2020-10-27 09:01:22","2020-10-27 09:01:22"
"738","2","2020-05-02","2","2020-10-27 09:01:22","2020-10-27 09:01:22"
"739","3","2020-05-02","0","2020-10-27 09:01:22","2020-10-27 09:01:22"
"740","4","2020-05-02","0","2020-10-27 09:01:22","2020-10-27 09:01:22"
"741","5","2020-05-02","7","2020-10-27 09:01:22","2020-10-27 09:01:22"
"742","6","2020-05-02","0","2020-10-27 09:01:22","2020-10-27 09:01:22"
"743","7","2020-05-02","0","2020-10-27 09:01:23","2020-10-27 09:01:23"
"744","8","2020-05-02","0","2020-10-27 09:01:23","2020-10-27 09:01:23"
"745","9","2020-05-02","0","2020-10-27 09:01:23","2020-10-27 09:01:23"
"746","10","2020-05-02","0","2020-10-27 09:01:23","2020-10-27 09:01:23"
"747","11","2020-05-02","0","2020-10-27 09:01:23","2020-10-27 09:01:23"
"748","0","2020-05-02","9","2020-10-27 09:01:23","2020-10-27 09:01:23"
"749","2","2020-05-03","0","2020-10-27 09:01:23","2020-10-27 09:01:23"
"750","3","2020-05-03","0","2020-10-27 09:01:23","2020-10-27 09:01:23"
"751","4","2020-05-03","0","2020-10-27 09:01:23","2020-10-27 09:01:23"
"752","5","2020-05-03","0","2020-10-27 09:01:23","2020-10-27 09:01:23"
"753","6","2020-05-03","0","2020-10-27 09:01:23","2020-10-27 09:01:23"
"754","7","2020-05-03","0","2020-10-27 09:01:23","2020-10-27 09:01:23"
"755","8","2020-05-03","0","2020-10-27 09:01:23","2020-10-27 09:01:23"
"756","9","2020-05-03","0","2020-10-27 09:01:23","2020-10-27 09:01:23"
"757","10","2020-05-03","0","2020-10-27 09:01:24","2020-10-27 09:01:24"
"758","11","2020-05-03","0","2020-10-27 09:01:24","2020-10-27 09:01:24"
"759","0","2020-05-03","0","2020-10-27 09:01:24","2020-10-27 09:01:24"
"760","2","2020-05-04","0","2020-10-27 09:01:24","2020-10-27 09:01:24"
