date,canton_id,total
14.5.2020,3,0
14.5.2020,4,2
14.5.2020,5,4
14.5.2020,6,0
14.5.2020,7,0
14.5.2020,8,0
14.5.2020,9,0
14.5.2020,10,1
14.5.2020,11,0
14.5.2020,0,8
15.5.2020,2,0
15.5.2020,3,0
15.5.2020,4,0
15.5.2020,5,0
15.5.2020,6,0
15.5.2020,7,0
15.5.2020,8,0
15.5.2020,9,0
15.5.2020,10,1
15.5.2020,11,0
15.5.2020,0,1
16.5.2020,2,0
16.5.2020,3,0
16.5.2020,4,2
16.5.2020,5,0
16.5.2020,6,0
16.5.2020,7,0
16.5.2020,8,0
16.5.2020,9,0
16.5.2020,10,0
16.5.2020,11,0
16.5.2020,0,2
17.5.2020,2,0
17.5.2020,3,0
17.5.2020,4,0
17.5.2020,5,0
17.5.2020,6,0
17.5.2020,7,0
17.5.2020,8,0
17.5.2020,9,0
17.5.2020,10,0
17.5.2020,11,0
17.5.2020,0,0
18.5.2020,2,0
18.5.2020,3,0
18.5.2020,4,2
18.5.2020,5,2
18.5.2020,6,0
18.5.2020,7,0
18.5.2020,8,0
18.5.2020,9,0
18.5.2020,10,1
18.5.2020,11,0
18.5.2020,0,5
19.5.2020,2,0
19.5.2020,3,0
19.5.2020,4,1
19.5.2020,5,0
19.5.2020,6,0
19.5.2020,7,0
19.5.2020,8,0
19.5.2020,9,0
19.5.2020,10,1
19.5.2020,11,0
19.5.2020,0,2
20.5.2020,2,0
20.5.2020,3,0
20.5.2020,4,2
20.5.2020,5,1
20.5.2020,6,0
20.5.2020,7,0
20.5.2020,8,0
20.5.2020,9,0
20.5.2020,10,0
20.5.2020,11,0
20.5.2020,0,3
21.5.2020,2,0
21.5.2020,3,0
21.5.2020,4,0
21.5.2020,5,1
21.5.2020,6,0
21.5.2020,7,0
21.5.2020,8,0
21.5.2020,9,0
21.5.2020,10,0
21.5.2020,11,0
21.5.2020,0,1
22.5.2020,2,0
22.5.2020,3,0
22.5.2020,4,0
22.5.2020,5,7
22.5.2020,6,0
22.5.2020,7,0
22.5.2020,8,0
22.5.2020,9,0
22.5.2020,10,0
22.5.2020,11,0
22.5.2020,0,7
23.5.2020,2,0
23.5.2020,3,0
23.5.2020,4,0
23.5.2020,5,3
23.5.2020,6,0
23.5.2020,7,0
23.5.2020,8,0
23.5.2020,9,0
23.5.2020,10,0
23.5.2020,11,0
23.5.2020,0,3
24.5.2020,2,0
24.5.2020,3,0
24.5.2020,4,0
24.5.2020,5,0
24.5.2020,6,0
24.5.2020,7,0
24.5.2020,8,0
24.5.2020,9,0
24.5.2020,10,0
24.5.2020,11,0
24.5.2020,0,0
25.5.2020,2,0
25.5.2020,3,0
25.5.2020,4,1
25.5.2020,5,0
25.5.2020,6,0
25.5.2020,7,0
25.5.2020,8,0
25.5.2020,9,0
25.5.2020,10,0
25.5.2020,11,0
25.5.2020,0,1
26.5.2020,2,0
26.5.2020,3,0
26.5.2020,4,1
26.5.2020,5,14
26.5.2020,6,0
26.5.2020,7,0
26.5.2020,8,0
26.5.2020,9,0
26.5.2020,10,0
26.5.2020,11,0
26.5.2020,0,15
27.5.2020,2,0
27.5.2020,3,0
27.5.2020,4,4
27.5.2020,5,18
27.5.2020,6,0
27.5.2020,7,0
27.5.2020,8,0
27.5.2020,9,0
27.5.2020,10,1
27.5.2020,11,0
27.5.2020,0,23
28.5.2020,2,0
28.5.2020,3,0
28.5.2020,4,0
28.5.2020,5,11
28.5.2020,6,0
28.5.2020,7,0
28.5.2020,8,0
28.5.2020,9,0
28.5.2020,10,0
28.5.2020,11,0
28.5.2020,0,11
29.5.2020,2,0
29.5.2020,3,0
29.5.2020,4,0
29.5.2020,5,8
29.5.2020,6,0
29.5.2020,7,0
29.5.2020,8,0
29.5.2020,9,0
29.5.2020,10,0
29.5.2020,11,0
29.5.2020,0,8
30.5.2020,2,0
30.5.2020,3,0
30.5.2020,4,0
30.5.2020,5,3
30.5.2020,6,0
30.5.2020,7,0
30.5.2020,8,0
30.5.2020,9,0
30.5.2020,10,0
30.5.2020,11,0
30.5.2020,0,3
31.5.2020,2,0
31.5.2020,3,0
31.5.2020,4,0
31.5.2020,5,0
31.5.2020,6,0
31.5.2020,7,0
31.5.2020,8,0
31.5.2020,9,0
31.5.2020,10,0
31.5.2020,11,0
31.5.2020,0,0
1.6.2020,2,0
1.6.2020,3,0
1.6.2020,4,1
1.6.2020,5,1
1.6.2020,6,0
1.6.2020,7,0
1.6.2020,8,0
1.6.2020,9,0
1.6.2020,10,0
1.6.2020,11,0
1.6.2020,0,2
2.6.2020,2,1
2.6.2020,3,0
2.6.2020,4,0
2.6.2020,5,8
2.6.2020,6,0
2.6.2020,7,0
2.6.2020,8,0
2.6.2020,9,0
2.6.2020,10,0
2.6.2020,11,0
2.6.2020,0,9
3.6.2020,2,0
3.6.2020,3,0
3.6.2020,4,0
3.6.2020,5,11
3.6.2020,6,0
3.6.2020,7,0
3.6.2020,8,0
3.6.2020,9,0
3.6.2020,10,1
3.6.2020,11,0
3.6.2020,0,12
4.6.2020,2,0
4.6.2020,3,0
4.6.2020,4,0
4.6.2020,5,0
4.6.2020,6,0
4.6.2020,7,0
4.6.2020,8,0
4.6.2020,9,0
4.6.2020,10,0
4.6.2020,11,0
4.6.2020,0,0
5.6.2020,2,0
5.6.2020,3,0
5.6.2020,4,2
5.6.2020,5,4
5.6.2020,6,0
5.6.2020,7,1
5.6.2020,8,0
5.6.2020,9,0
5.6.2020,10,0
5.6.2020,11,0
5.6.2020,0,7
6.6.2020,2,0
6.6.2020,3,0
6.6.2020,4,3
6.6.2020,5,13
6.6.2020,6,0
6.6.2020,7,1
6.6.2020,8,0
6.6.2020,9,0
6.6.2020,10,0
6.6.2020,11,0
6.6.2020,0,17
7.6.2020,2,0
7.6.2020,3,0
7.6.2020,4,9
7.6.2020,5,5
7.6.2020,6,0
7.6.2020,7,1
7.6.2020,8,0
7.6.2020,9,0
7.6.2020,10,0
7.6.2020,11,0
7.6.2020,0,15
8.6.2020,2,0
8.6.2020,3,0
8.6.2020,4,17
8.6.2020,5,1
8.6.2020,6,0
8.6.2020,7,0
8.6.2020,8,0
8.6.2020,9,0
8.6.2020,10,1
8.6.2020,11,0
8.6.2020,0,19
9.6.2020,2,3
9.6.2020,3,0
9.6.2020,4,11
9.6.2020,5,3
9.6.2020,6,0
9.6.2020,7,0
9.6.2020,8,0
9.6.2020,9,0
9.6.2020,10,3
9.6.2020,11,0
9.6.2020,0,20
10.6.2020,2,0
10.6.2020,3,0
10.6.2020,4,10
10.6.2020,5,7
10.6.2020,6,0
10.6.2020,7,2
10.6.2020,8,1
10.6.2020,9,0
10.6.2020,10,17
10.6.2020,11,0
10.6.2020,0,37
11.6.2020,2,17
11.6.2020,3,0
11.6.2020,4,10
11.6.2020,5,1
11.6.2020,6,0
11.6.2020,7,0
11.6.2020,8,0
11.6.2020,9,0
11.6.2020,10,8
11.6.2020,11,0
11.6.2020,0,36
12.6.2020,2,0
12.6.2020,3,0
12.6.2020,4,26
12.6.2020,5,5
12.6.2020,6,0
12.6.2020,7,0
12.6.2020,8,0
12.6.2020,9,0
12.6.2020,10,1
12.6.2020,11,0
12.6.2020,0,32
13.6.2020,2,0
13.6.2020,3,0
13.6.2020,4,11
13.6.2020,5,2
13.6.2020,6,0
13.6.2020,7,0
13.6.2020,8,1
13.6.2020,9,0
13.6.2020,10,3
13.6.2020,11,0
13.6.2020,0,17
14.6.2020,2,3
14.6.2020,3,0
14.6.2020,4,16
14.6.2020,5,7
14.6.2020,6,0
14.6.2020,7,0
14.6.2020,8,0
14.6.2020,9,0
14.6.2020,10,0
14.6.2020,11,0
14.6.2020,0,26
15.6.2020,2,0
15.6.2020,3,0
15.6.2020,4,19
15.6.2020,5,4
15.6.2020,6,0
15.6.2020,7,1
